,Unnamed: 0,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Control,2nd_Road_Class,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Year,Month
420806,420806,338120.0,393720.0,-2.932962,53.436601,3,2,4,13/05/2007,1,17,3,5058,Dual carriageway,30,3.0,3,2,2.0,4,5,1,0,5.0,1,2007,5
589123,19112,513440.0,183580.0,-0.365671,51.539677,3,2,1,06/02/2009,6,16,3,40,Dual carriageway,50,4.0,-1,2,1.0,4,5,1,0,5.0,1,2009,2
803505,233494,397260.0,303050.0,-2.041923,52.625177,3,2,1,23/09/2010,5,14,1,6,Dual carriageway,70,4.0,-1,2,1.0,4,3,2,0,5.0,2,2010,9
217327,217327,519120.0,179340.0,-0.28524,51.500401,3,2,1,12/08/2006,7,20,3,406,Dual carriageway,40,1.0,6,2,1.0,4,3,2,0,5.0,1,2006,8
929910,359899,432160.0,568480.0,-1.498661,55.009867,3,2,2,28/04/2011,5,15,3,19,Dual carriageway,30,3.0,3,2,1.0,4,6,2,0,5.0,1,2011,4
380801,380801,320380.0,668750.0,-3.275099,55.905291,3,5,1,16/11/2006,5,16,3,720,Dual carriageway,70,4.0,-1,2,1.0,1,3,2,0,5.0,2,2006,11
451235,451235,438820.0,386380.0,-1.417983,53.372848,3,2,1,16/04/2007,2,10,3,6102,Dual carriageway,40,3.0,6,2,2.0,4,3,2,0,5.0,1,2007,4
634323,64312,412090.0,286880.0,-1.823423,52.479684,3,2,3,15/04/2009,4,16,4,4128,Dual carriageway,30,3.0,6,2,2.0,4,3,2,0,5.0,1,2009,4
267611,267611,527440.0,410430.0,-0.07676,53.574983,2,2,1,29/08/2006,3,14,3,180,Dual carriageway,30,4.0,-1,2,1.0,4,3,1,0,5.0,1,2006,8
234355,234355,338130.0,386340.0,-2.931362,53.370274,3,2,2,09/02/2006,5,8,3,561,Dual carriageway,30,1.0,6,2,1.0,4,3,2,0,5.0,1,2006,2
235648,235648,387170.0,398270.0,-2.194805,53.480984,3,2,2,13/11/2006,2,17,3,6010,Dual carriageway,30,4.0,-1,1,5.0,3,3,2,0,5.0,1,2006,11
902077,332066,522350.0,189410.0,-0.235229,51.590214,3,2,1,04/04/2011,2,9,3,41,Dual carriageway,50,3.0,6,2,1.0,4,3,2,0,5.0,1,2011,4
152825,152825,552610.0,167500.0,0.191812,51.385974,3,2,1,17/11/2005,5,10,1,25,Dual carriageway,70,4.0,-1,2,1.0,4,2,2,0,5.0,2,2005,11
909997,339986,530980.0,192070.0,-0.109729,51.61218,3,2,1,16/04/2011,7,0,3,105,Dual carriageway,50,3.0,3,2,2.0,3,3,2,0,5.0,1,2011,4
407330,407330,513000.0,183720.0,-0.371968,51.541024,3,2,1,08/09/2007,7,10,3,40,Dual carriageway,50,4.0,-1,2,1.0,4,3,2,0,5.0,1,2007,9
540691,540691,360750.0,182050.0,-2.56731,51.535931,3,2,1,20/04/2007,6,21,3,38,Dual carriageway,40,4.0,-1,2,1.0,3,3,2,0,5.0,1,2007,4
792464,222453,490640.0,430460.0,-0.626496,53.762611,3,1,2,27/02/2010,7,6,3,63,Dual carriageway,70,4.0,-1,2,1.0,4,7,1,0,2.0,2,2010,2
606401,36390,366870.0,398700.0,-2.500736,53.483959,3,3,1,02/01/2009,6,16,3,574,Dual carriageway,30,1.0,6,2,1.0,3,3,2,0,5.0,1,2009,1
946473,376462,513260.0,430440.0,-0.283516,53.75801,3,1,1,23/03/2011,4,16,6,0,Dual carriageway,30,1.0,6,2,1.0,4,3,2,0,5.0,1,2011,3
162196,162196,309310.0,94850.0,-3.286833,50.746083,3,1,3,24/07/2005,1,15,3,30,Dual carriageway,60,4.0,-1,2,1.0,4,3,2,0,5.0,2,2005,7
717207,147196,326490.0,184150.0,-3.061635,51.551383,3,2,4,12/09/2009,7,18,3,48,Dual carriageway,50,1.0,6,2,1.0,4,3,2,0,5.0,2,2009,9
423079,423079,386830.0,395540.0,-2.199813,53.456437,3,1,1,10/08/2007,6,13,3,6,Dual carriageway,30,3.0,3,1,1.0,4,3,2,0,5.0,1,2007,8
143644,143644,520860.0,160800.0,-0.2665,51.333401,3,2,1,21/09/2005,4,7,3,24,Dual carriageway,30,4.0,-1,2,5.0,4,3,2,0,5.0,1,2005,9
654743,84732,448110.0,345090.0,-1.284564,53.000957,3,1,1,18/06/2009,5,13,3,610,Dual carriageway,60,4.0,-1,2,1.0,4,3,2,0,2.0,2,2009,6
402812,402812,526430.0,193660.0,-0.174833,51.627508,3,2,1,18/04/2007,4,7,3,1000,Dual carriageway,30,1.0,4,2,1.0,4,3,2,0,5.0,1,2007,4
422721,422721,387140.0,398330.0,-2.195259,53.481523,3,2,2,24/12/2007,2,11,3,6010,Dual carriageway,30,3.0,3,2,2.0,4,3,1,0,5.0,1,2007,12
